T(rees),Training Error,Testing Error
1,0.0732,0.1674
2,0.0844,0.199
3,0.0436,0.1498
4,0.0422,0.165
5,0.031,0.1432
6,0.0316,0.1538
7,0.0266,0.1458
8,0.0268,0.154
9,0.0242,0.1452
10,0.0236,0.1512
11,0.0216,0.1436
12,0.021,0.152
13,0.0202,0.1452
14,0.0212,0.1478
15,0.0206,0.1452
16,0.0196,0.1472
17,0.0188,0.1422
18,0.0186,0.1476
19,0.0188,0.1456
20,0.0168,0.149
21,0.0176,0.1458
22,0.0172,0.1486
23,0.018,0.1474
24,0.0166,0.1478
25,0.017,0.1458
26,0.0166,0.1468
27,0.017,0.1454
28,0.0164,0.1468
29,0.0164,0.1448
30,0.0156,0.1462
31,0.016,0.144
32,0.0156,0.1442
33,0.0158,0.141
34,0.0154,0.1416
35,0.0158,0.1408
36,0.0146,0.1422
37,0.015,0.142
38,0.0144,0.1434
39,0.0152,0.141
40,0.0148,0.1422
41,0.0152,0.1418
42,0.0144,0.1432
43,0.0146,0.1426
44,0.014,0.1434
45,0.0146,0.1408
46,0.0144,0.1426
47,0.0148,0.1402
48,0.0146,0.141
49,0.0146,0.1398
50,0.0144,0.1416
51,0.0148,0.14
52,0.0144,0.143
53,0.0146,0.1416
54,0.0142,0.1444
55,0.0148,0.1428
56,0.0144,0.1442
57,0.0144,0.1416
58,0.0144,0.1438
59,0.0144,0.1416
60,0.014,0.1446
61,0.0142,0.1438
62,0.014,0.1442
63,0.014,0.1422
64,0.0138,0.144
65,0.0142,0.142
66,0.014,0.1428
67,0.014,0.1414
68,0.014,0.142
69,0.0142,0.1418
70,0.014,0.1412
71,0.0142,0.1404
72,0.014,0.142
73,0.0142,0.1414
74,0.014,0.1416
75,0.0142,0.1418
76,0.0138,0.1416
77,0.014,0.142
78,0.014,0.1424
79,0.014,0.1414
80,0.014,0.1424
81,0.014,0.1406
82,0.014,0.1416
83,0.014,0.1406
84,0.014,0.1416
85,0.014,0.1404
86,0.014,0.1414
87,0.014,0.14
88,0.014,0.1408
89,0.014,0.1404
90,0.0136,0.1414
91,0.0138,0.139
92,0.0138,0.1404
93,0.0138,0.1402
94,0.0138,0.1416
95,0.0138,0.1412
96,0.0138,0.1422
97,0.0138,0.141
98,0.0138,0.142
99,0.0138,0.1398
100,0.0138,0.141
101,0.0138,0.1396
102,0.0136,0.1414
103,0.0136,0.1408
104,0.0136,0.1422
105,0.0136,0.141
106,0.0136,0.1428
107,0.0136,0.1418
108,0.0136,0.1436
109,0.0136,0.1428
110,0.0136,0.144
111,0.0136,0.1424
112,0.0136,0.1438
113,0.0136,0.1434
114,0.0136,0.1444
115,0.0136,0.144
116,0.0136,0.1444
117,0.0136,0.1436
118,0.0136,0.1448
119,0.0136,0.1446
120,0.0136,0.1444
121,0.0136,0.1438
122,0.0136,0.1446
123,0.0136,0.144
124,0.0136,0.144
125,0.0136,0.1436
126,0.0136,0.1436
127,0.0136,0.1432
128,0.0136,0.1446
129,0.0136,0.1436
130,0.0136,0.1446
131,0.0136,0.1438
132,0.0136,0.1444
133,0.0136,0.143
134,0.0136,0.1434
135,0.0136,0.1432
136,0.0136,0.1438
137,0.0136,0.143
138,0.0136,0.1432
139,0.0136,0.1426
140,0.0136,0.1438
141,0.0136,0.142
142,0.0136,0.1424
143,0.0136,0.1418
144,0.0136,0.142
145,0.0136,0.1418
146,0.0136,0.1426
147,0.0136,0.1422
148,0.0136,0.143
149,0.0136,0.1416
150,0.0136,0.1418
151,0.0136,0.1408
152,0.0136,0.142
153,0.0136,0.1414
154,0.0136,0.1424
155,0.0136,0.1412
156,0.0136,0.1422
157,0.0136,0.1422
158,0.0136,0.1424
159,0.0136,0.1422
160,0.0136,0.1422
161,0.0136,0.1416
162,0.0136,0.143
163,0.0136,0.1428
164,0.0136,0.1432
165,0.0136,0.1434
166,0.0136,0.1436
167,0.0136,0.143
168,0.0136,0.1434
169,0.0136,0.1426
170,0.0136,0.1434
171,0.0136,0.1426
172,0.0136,0.1432
173,0.0136,0.1428
174,0.0136,0.1434
175,0.0136,0.1418
176,0.0136,0.142
177,0.0136,0.1424
178,0.0136,0.1436
179,0.0136,0.1426
180,0.0136,0.143
181,0.0136,0.143
182,0.0136,0.1428
183,0.0136,0.1428
184,0.0136,0.143
185,0.0136,0.1426
186,0.0136,0.1434
187,0.0136,0.1432
188,0.0136,0.1436
189,0.0136,0.1432
190,0.0136,0.1436
191,0.0136,0.1436
192,0.0136,0.1438
193,0.0136,0.1434
194,0.0136,0.1444
