Tree#,Training Error,Testing Error
1,0.0732,0.1674
2,0.0692,0.1644
3,0.0634,0.166
4,0.0686,0.1624
5,0.0696,0.1674
6,0.069,0.1764
7,0.0668,0.1722
8,0.0718,0.1742
9,0.0738,0.1634
10,0.07,0.1678
11,0.0646,0.1738
12,0.07,0.1732
13,0.0664,0.1644
14,0.0694,0.1684
15,0.0748,0.1696
16,0.0626,0.164
17,0.0696,0.161
18,0.069,0.1706
19,0.0674,0.1674
20,0.0708,0.1792
21,0.0694,0.1682
22,0.0668,0.162
23,0.0652,0.1656
24,0.0706,0.1642
25,0.0652,0.1646
26,0.071,0.1656
27,0.069,0.1662
28,0.072,0.168
29,0.0654,0.1668
30,0.0668,0.1698
31,0.0698,0.1718
32,0.0654,0.1618
33,0.0648,0.1634
34,0.07,0.1604
35,0.0672,0.1724
36,0.0742,0.1692
37,0.0702,0.1604
38,0.0706,0.167
39,0.069,0.1566
40,0.074,0.174
41,0.0668,0.1668
42,0.0612,0.1748
43,0.0658,0.1668
44,0.0704,0.1688
45,0.0602,0.1636
46,0.0628,0.159
47,0.075,0.1608
48,0.0718,0.1692
49,0.0672,0.1592
50,0.0678,0.1674
51,0.069,0.1726
52,0.0664,0.1706
53,0.0664,0.166
54,0.072,0.1714
55,0.0684,0.1614
56,0.0718,0.1644
57,0.0714,0.1752
58,0.0678,0.1696
59,0.0694,0.1714
60,0.0656,0.1644
61,0.0688,0.1668
62,0.0686,0.1658
63,0.0738,0.1744
64,0.0639999999999999,0.1558
65,0.0639999999999999,0.1708
66,0.0679999999999999,0.1602
67,0.0636,0.1588
68,0.069,0.1774
69,0.0669999999999999,0.1676
70,0.0708,0.1668
71,0.0728,0.1746
72,0.0744,0.1774
73,0.07,0.1674
74,0.0668,0.1632
75,0.074,0.173
76,0.0682,0.1762
77,0.0652,0.1664
78,0.0678,0.1622
79,0.0678,0.1678
80,0.0756,0.1714
81,0.0778,0.1732
82,0.0724,0.1608
83,0.0694,0.163
84,0.0659999999999999,0.1662
85,0.0726,0.166
86,0.0708,0.168
87,0.0682,0.162
88,0.0698,0.1698
89,0.0688,0.1702
90,0.0648,0.167
91,0.0648,0.1648
92,0.0682,0.1682
93,0.0694,0.1686
94,0.0620000000000001,0.1672
95,0.0704,0.1714
96,0.0688,0.173
97,0.0672,0.1748
98,0.07,0.1664
99,0.0692,0.158
100,0.0704,0.1676
101,0.0664,0.1664
102,0.0702,0.1694
103,0.0736,0.186
104,0.07,0.1754
105,0.0676,0.1638
106,0.0686,0.1684
107,0.0682,0.1722
108,0.0698,0.1694
109,0.072,0.1728
110,0.0738,0.1672
111,0.0632,0.1632
112,0.0684,0.1722
113,0.0669999999999999,0.1654
114,0.0639999999999999,0.1732
115,0.0674,0.1676
116,0.0649999999999999,0.1696
117,0.0694,0.1656
118,0.0656,0.1636
119,0.0688,0.1754
120,0.0629999999999999,0.1644
121,0.0652,0.1608
122,0.0636,0.1614
123,0.0656,0.1692
124,0.0649999999999999,0.1662
125,0.0682,0.1772
126,0.0684,0.1694
127,0.0648,0.1698
128,0.0726,0.17
129,0.0744,0.1754
130,0.0669999999999999,0.166
131,0.0658,0.162
132,0.0688,0.1712
133,0.0704,0.1768
134,0.0674,0.1692
135,0.0702,0.1596
136,0.0716,0.1734
137,0.0728,0.1748
138,0.0678,0.168
139,0.0694,0.1674
140,0.0716,0.1716
141,0.0716,0.1638
142,0.0648,0.158
143,0.0684,0.172
144,0.0676,0.1626
145,0.0676,0.1666
146,0.0664,0.1608
147,0.0658,0.1646
148,0.0642,0.1656
149,0.0676,0.159
150,0.0718,0.172
151,0.0639999999999999,0.169
152,0.0698,0.169
153,0.0620000000000001,0.1704
154,0.0646,0.1574
155,0.0649999999999999,0.1764
156,0.071,0.1722
157,0.0674,0.165
158,0.0616,0.16
159,0.0678,0.1646
160,0.0696,0.1744
161,0.0679999999999999,0.1708
162,0.0659999999999999,0.1652
163,0.0696,0.1736
164,0.0639999999999999,0.1672
165,0.0692,0.1648
166,0.0678,0.1742
167,0.0656,0.16
168,0.0708,0.1716
169,0.0682,0.1706
170,0.0639999999999999,0.1592
171,0.0738,0.1798
172,0.0668,0.1714
173,0.0682,0.1648
174,0.0684,0.1672
175,0.0718,0.1692
176,0.0752,0.173
177,0.0716,0.1704
178,0.0658,0.167
179,0.0686,0.166
180,0.0638,0.1656
181,0.0682,0.175
182,0.0684,0.1776
183,0.0694,0.1714
184,0.0678,0.173
185,0.0662,0.1658
186,0.0658,0.168
187,0.0726,0.1662
188,0.0726,0.162
189,0.0654,0.1622
190,0.0692,0.173
191,0.072,0.1784
192,0.0652,0.1712
193,0.0639999999999999,0.1664
194,0.0686,0.1796
195,0.0656,0.1654
196,0.0722,0.1702
197,0.0648,0.173
198,0.0736,0.1732
199,0.0659999999999999,0.1636
200,0.0686,0.171
201,0.0724,0.166
202,0.0664,0.1596
203,0.0678,0.1616
204,0.0768,0.1672
205,0.0686,0.178
206,0.072,0.172
207,0.0666,0.1622
208,0.0724,0.1678
209,0.0679999999999999,0.172
210,0.0684,0.1708
211,0.0696,0.1796
212,0.0668,0.1654
213,0.0698,0.1796
214,0.0656,0.16
215,0.0688,0.1664
216,0.0694,0.1658
217,0.0698,0.17
218,0.0738,0.1706
219,0.0644,0.1658
220,0.0682,0.1642
221,0.0742,0.18
222,0.0679999999999999,0.1824
223,0.0718,0.1668
224,0.0692,0.169
225,0.0664,0.17
226,0.0678,0.157
227,0.0706,0.1656
228,0.0638,0.163
229,0.0724,0.1712
230,0.0652,0.1694
231,0.0706,0.1722
232,0.0722,0.1732
233,0.0676,0.1626
234,0.0638,0.1612
235,0.072,0.1602
236,0.0659999999999999,0.1636
237,0.0679999999999999,0.1634
238,0.0658,0.1702
239,0.0732,0.1676
240,0.0642,0.1604
241,0.0639999999999999,0.1574
242,0.0702,0.1748
243,0.0686,0.1704
244,0.0652,0.1634
245,0.0658,0.172
246,0.0728,0.1742
247,0.0712,0.1694
248,0.0624,0.1676
249,0.0659999999999999,0.1628
250,0.0656,0.173
251,0.0672,0.1676
252,0.0716,0.1708
253,0.0688,0.163
254,0.0674,0.1666
255,0.0692,0.1638
256,0.0669999999999999,0.168
257,0.0694,0.1676
258,0.0669999999999999,0.1584
259,0.0714,0.1714
260,0.0646,0.1632
261,0.072,0.1644
262,0.0629999999999999,0.1698
263,0.0676,0.171
264,0.0734,0.1738
265,0.0708,0.1648
266,0.0662,0.1686
267,0.0724,0.1732
268,0.0658,0.1738
269,0.0708,0.182
270,0.0618,0.1662
271,0.0659999999999999,0.1688
272,0.0668,0.1686
273,0.0669999999999999,0.166
274,0.0659999999999999,0.1702
275,0.0706,0.1734
276,0.0726,0.1608
277,0.0632,0.1598
278,0.0672,0.176
279,0.0706,0.1656
280,0.0672,0.1602
281,0.0692,0.181
282,0.0656,0.1656
283,0.0669999999999999,0.1756
284,0.0688,0.1674
285,0.0674,0.169
286,0.07,0.1628
287,0.0722,0.1856
288,0.0672,0.1708
289,0.072,0.1714
290,0.0644,0.171
291,0.0636,0.1716
292,0.0629999999999999,0.1604
293,0.0742,0.1672
294,0.071,0.162
295,0.0652,0.1612
296,0.0679999999999999,0.1712
297,0.0594,0.1634
298,0.0682,0.1682
299,0.0676,0.1646
300,0.0676,0.1646
301,0.0668,0.153
302,0.0658,0.161
303,0.0669999999999999,0.1666
304,0.0694,0.1606
305,0.0654,0.17
306,0.0654,0.1596
307,0.0732,0.1764
308,0.0678,0.1764
309,0.0652,0.1578
310,0.0659999999999999,0.1726
311,0.0642,0.1626
312,0.0646,0.1718
313,0.072,0.1672
314,0.0669999999999999,0.1672
315,0.069,0.1702
316,0.0626,0.1652
317,0.0674,0.1764
318,0.0712,0.172
319,0.0664,0.1664
320,0.0649999999999999,0.1608
321,0.0636,0.163
322,0.0744,0.1808
323,0.0648,0.168
324,0.0696,0.1716
325,0.069,0.1606
326,0.0676,0.1662
327,0.0676,0.167
328,0.0704,0.1656
329,0.07,0.1574
330,0.0698,0.1708
331,0.0646,0.1692
332,0.0664,0.172
333,0.0658,0.1702
334,0.0644,0.1612
335,0.0714,0.1764
336,0.0668,0.174
337,0.0656,0.1736
338,0.0698,0.1702
339,0.0686,0.1716
340,0.072,0.1668
341,0.07,0.1654
342,0.072,0.1548
343,0.0654,0.1702
344,0.0694,0.1618
345,0.0706,0.167
346,0.0674,0.1656
347,0.07,0.1632
348,0.0646,0.1776
349,0.0644,0.1714
350,0.0658,0.1732
351,0.069,0.1644
352,0.0669999999999999,0.1772
353,0.075,0.1738
354,0.0698,0.1682
355,0.0679999999999999,0.174
356,0.0662,0.1704
357,0.0706,0.1622
358,0.0686,0.1788
359,0.0714,0.17
360,0.0666,0.1668
361,0.0702,0.1734
362,0.0724,0.1728
363,0.0672,0.1614
364,0.0634,0.1728
365,0.0662,0.1742
366,0.0742,0.1766
367,0.0698,0.172
368,0.0679999999999999,0.173
369,0.0639999999999999,0.1666
370,0.0666,0.171
371,0.0712,0.172
372,0.0706,0.1736
373,0.0664,0.1654
374,0.0632,0.1722
375,0.0656,0.17
376,0.0674,0.1626
377,0.072,0.1594
378,0.07,0.177
379,0.0682,0.1634
380,0.0646,0.1754
381,0.0688,0.1628
382,0.0659999999999999,0.1636
383,0.0662,0.1702
384,0.0716,0.171
385,0.0704,0.1672
386,0.0706,0.1616
387,0.0678,0.178
388,0.069,0.1662
389,0.0610000000000001,0.1628
390,0.0716,0.1696
391,0.0679999999999999,0.169
392,0.0724,0.1696
393,0.0654,0.1718
394,0.0724,0.164
395,0.0688,0.1698
396,0.0782,0.1814
397,0.0762,0.177
398,0.0692,0.1742
399,0.0648,0.1588
400,0.0708,0.1718
401,0.0666,0.1646
402,0.0688,0.1676
403,0.0702,0.1732
404,0.0654,0.1732
405,0.072,0.1748
406,0.0698,0.1662
407,0.0649999999999999,0.1674
408,0.0616,0.167
409,0.072,0.1738
410,0.0698,0.1704
411,0.0744,0.164
412,0.0639999999999999,0.1656
413,0.07,0.1556
414,0.0694,0.1754
415,0.0666,0.1666
416,0.0659999999999999,0.167
417,0.069,0.167
418,0.0636,0.1688
419,0.0684,0.175
420,0.0679999999999999,0.17
421,0.0684,0.171
422,0.0694,0.1636
423,0.0692,0.1778
424,0.0669999999999999,0.1702
425,0.0684,0.1564
426,0.0696,0.171
427,0.0688,0.1604
428,0.0708,0.1744
429,0.0698,0.168
430,0.072,0.1746
431,0.0664,0.1658
432,0.0716,0.1712
433,0.0649999999999999,0.159
434,0.0678,0.1744
435,0.0734,0.1826
436,0.0676,0.1682
437,0.0634,0.167
438,0.0718,0.1702
439,0.0662,0.1668
440,0.0666,0.1714
441,0.0664,0.1722
442,0.0694,0.1748
443,0.0678,0.1666
444,0.0679999999999999,0.1664
445,0.0669999999999999,0.1628
446,0.0659999999999999,0.1648
447,0.0659999999999999,0.1712
448,0.0718,0.1762
449,0.0662,0.1666
450,0.0722,0.1714
451,0.0742,0.183
452,0.0682,0.1684
453,0.0678,0.17
454,0.0664,0.1662
455,0.0632,0.169
456,0.0698,0.1726
457,0.071,0.1716
