T(rees),Training Error,Testing Error
1,0.1192,0.1248
2,0.1192,0.1248
3,0.1192,0.1248
4,0.1192,0.1248
5,0.1192,0.1248
6,0.1192,0.1248
7,0.1192,0.1248
8,0.1192,0.1248
9,0.1192,0.1248
10,0.1192,0.1248
11,0.1192,0.1248
12,0.1192,0.1248
13,0.1192,0.1248
14,0.1192,0.1248
15,0.1192,0.1248
16,0.1192,0.1248
17,0.1192,0.1248
18,0.1192,0.1248
19,0.1192,0.1248
20,0.1192,0.1248
21,0.1192,0.1248
22,0.1192,0.1248
23,0.1192,0.1248
24,0.1192,0.1248
25,0.1192,0.1248
26,0.1192,0.1248
27,0.1192,0.1248
28,0.1192,0.1248
29,0.1192,0.1248
30,0.1192,0.1248
31,0.1192,0.1248
32,0.1192,0.1248
33,0.1192,0.1248
34,0.1192,0.1248
35,0.1192,0.1248
36,0.1192,0.1248
37,0.1192,0.1248
38,0.1192,0.1248
39,0.1192,0.1248
40,0.1192,0.1248
41,0.1192,0.1248
42,0.1192,0.1248
43,0.1192,0.1248
44,0.1192,0.1248
45,0.1192,0.1248
46,0.1192,0.1248
47,0.1192,0.1248
48,0.1192,0.1248
49,0.1192,0.1248
50,0.1192,0.1248
51,0.1192,0.1248
52,0.1192,0.1248
53,0.1192,0.1248
54,0.1192,0.1248
55,0.1192,0.1248
56,0.1192,0.1248
57,0.1192,0.1248
58,0.1192,0.1248
59,0.1192,0.1248
60,0.1192,0.1248
61,0.1192,0.1248
62,0.1192,0.1248
63,0.1192,0.1248
64,0.1192,0.1248
65,0.1192,0.1248
66,0.1192,0.1248
67,0.1192,0.1248
68,0.1192,0.1248
69,0.1192,0.1248
70,0.1192,0.1248
71,0.1192,0.1248
72,0.1192,0.1248
73,0.1192,0.1248
74,0.1192,0.1248
75,0.1192,0.1248
76,0.1192,0.1248
77,0.1192,0.1248
78,0.1192,0.1248
79,0.1192,0.1248
80,0.1192,0.1248
81,0.1192,0.1248
82,0.1192,0.1248
83,0.1192,0.1248
84,0.1192,0.1248
85,0.1192,0.1248
86,0.1192,0.1248
87,0.1192,0.1248
88,0.1192,0.1248
89,0.1192,0.1248
90,0.1192,0.1248
91,0.1192,0.1248
92,0.1192,0.1248
93,0.1192,0.1248
94,0.1192,0.1248
95,0.1192,0.1248
96,0.1192,0.1248
97,0.1192,0.1248
98,0.1192,0.1248
99,0.1192,0.1248
100,0.1192,0.1248
101,0.1192,0.1248
102,0.1192,0.1248
103,0.1192,0.1248
104,0.1192,0.1248
105,0.1192,0.1248
106,0.1192,0.1248
107,0.1192,0.1248
108,0.1192,0.1248
109,0.1192,0.1248
110,0.1192,0.1248
111,0.1192,0.1248
112,0.1192,0.1248
113,0.1192,0.1248
114,0.1192,0.1248
115,0.1192,0.1248
116,0.1192,0.1248
117,0.1192,0.1248
118,0.1192,0.1248
119,0.1192,0.1248
120,0.1192,0.1248
121,0.1192,0.1248
122,0.1192,0.1248
123,0.1192,0.1248
124,0.1192,0.1248
125,0.1192,0.1248
126,0.1192,0.1248
127,0.1192,0.1248
128,0.1192,0.1248
129,0.1192,0.1248
130,0.1192,0.1248
131,0.1192,0.1248
132,0.1192,0.1248
133,0.1192,0.1248
134,0.1192,0.1248
135,0.1192,0.1248
136,0.1192,0.1248
137,0.1192,0.1248
138,0.1192,0.1248
139,0.1192,0.1248
140,0.1192,0.1248
141,0.1192,0.1248
142,0.1192,0.1248
143,0.1192,0.1248
144,0.1192,0.1248
145,0.1192,0.1248
146,0.1192,0.1248
147,0.1192,0.1248
148,0.1192,0.1248
149,0.1192,0.1248
150,0.1192,0.1248
151,0.1192,0.1248
152,0.1192,0.1248
153,0.1192,0.1248
154,0.1192,0.1248
155,0.1192,0.1248
156,0.1192,0.1248
157,0.1192,0.1248
158,0.1192,0.1248
159,0.1192,0.1248
160,0.1192,0.1248
161,0.1192,0.1248
162,0.1192,0.1248
163,0.1192,0.1248
164,0.1192,0.1248
165,0.1192,0.1248
166,0.1192,0.1248
167,0.1192,0.1248
168,0.1192,0.1248
169,0.1192,0.1248
170,0.1192,0.1248
171,0.1192,0.1248
172,0.1192,0.1248
173,0.1192,0.1248
174,0.1192,0.1248
175,0.1192,0.1248
176,0.1192,0.1248
177,0.1192,0.1248
178,0.1192,0.1248
179,0.1192,0.1248
180,0.1192,0.1248
181,0.1192,0.1248
182,0.1192,0.1248
183,0.1192,0.1248
184,0.1192,0.1248
185,0.1192,0.1248
186,0.1192,0.1248
187,0.1192,0.1248
188,0.1192,0.1248
189,0.1192,0.1248
190,0.1192,0.1248
191,0.1192,0.1248
192,0.1192,0.1248
193,0.1192,0.1248
194,0.1192,0.1248
195,0.1192,0.1248
196,0.1192,0.1248
197,0.1192,0.1248
198,0.1192,0.1248
199,0.1192,0.1248
200,0.1192,0.1248
201,0.1192,0.1248
202,0.1192,0.1248
