Tree#,Training Error,Testing Error
1,0.1192,0.1248
2,0.4142,0.4058
3,0.197,0.203
4,0.6198,0.6144
5,0.1088,0.1166
6,0.8036,0.7982
7,0.4192,0.4072
8,0.4142,0.4058
9,0.327,0.34
10,0.7372,0.7384
11,0.1088,0.1166
12,0.4036,0.4042
13,0.7388,0.7412
14,0.3888,0.3832
15,0.5016,0.5004
16,0.7372,0.7384
17,0.2588,0.2584
18,0.3462,0.359
19,0.6418,0.6338
20,0.184,0.1912
21,0.6912,0.6974
22,0.4768,0.4704
23,0.4142,0.4058
24,0.1088,0.1166
25,0.5588,0.5498
26,0.629,0.626
27,0.5712,0.5676
28,0.468,0.4746
29,0.1088,0.1166
30,0.7518,0.7544
31,0.6198,0.6144
32,0.1192,0.1248
33,0.7372,0.7384
34,0.363,0.3668
35,0.1088,0.1166
36,0.819,0.8212
37,0.2458,0.2418
38,0.5808,0.5928
39,0.775,0.7718
40,0.3202,0.3294
41,0.7372,0.7384
42,0.1678,0.1716
43,0.6516,0.642
44,0.464,0.465
45,0.4124,0.4038
46,0.6198,0.6144
47,0.1088,0.1166
48,0.8638,0.8616
49,0.4142,0.4058
50,0.2168,0.2156
51,0.8638,0.8616
52,0.2452,0.2556
53,0.5248,0.5316
54,0.8638,0.8616
55,0.1088,0.1166
56,0.839,0.839
57,0.1192,0.1248
58,0.8638,0.8616
59,0.1192,0.1248
60,0.8638,0.8616
61,0.7372,0.7384
62,0.1678,0.1716
63,0.5566,0.5632
64,0.8638,0.8616
65,0.3408,0.3336
66,0.8638,0.8616
67,0.1088,0.1166
68,0.8488,0.8472
69,0.1192,0.1248
70,0.8638,0.8616
71,0.1192,0.1248
72,0.8638,0.8616
73,0.442,0.4546
74,0.6198,0.6144
75,0.1192,0.1248
76,0.6112,0.6168
77,0.1192,0.1248
78,0.8638,0.8616
79,0.7372,0.7384
80,0.3622,0.365
81,0.2156,0.2154
82,0.8638,0.8616
83,0.1088,0.1166
84,0.5808,0.5928
85,0.5316,0.5234
86,0.6866,0.6814
87,0.3462,0.359
88,0.6516,0.642
89,0.4956,0.498
90,0.775,0.7718
91,0.6198,0.6144
92,0.1192,0.1248
93,0.8638,0.8616
94,0.4142,0.4058
95,0.1206,0.1236
96,0.8638,0.8616
97,0.3946,0.398
98,0.1088,0.1166
99,0.8488,0.8472
100,0.7372,0.7384
101,0.1188,0.1228
102,0.8638,0.8616
103,0.1088,0.1166
104,0.7518,0.7544
105,0.2168,0.2156
106,0.8638,0.8616
107,0.5824,0.5804
108,0.1088,0.1166
109,0.8638,0.8616
110,0.229,0.2314
111,0.8488,0.8472
112,0.1452,0.1544
113,0.8488,0.8472
114,0.1536,0.162
115,0.775,0.7718
116,0.4142,0.4058
117,0.1192,0.1248
118,0.8638,0.8616
119,0.464,0.465
120,0.6866,0.6814
121,0.1192,0.1248
122,0.7372,0.7384
123,0.1678,0.1716
124,0.5808,0.5928
125,0.6198,0.6144
126,0.1088,0.1166
127,0.6364,0.6358
128,0.5508,0.5498
129,0.425,0.4176
130,0.8638,0.8616
131,0.1452,0.1544
132,0.8488,0.8472
133,0.184,0.1912
134,0.8638,0.8616
135,0.244,0.241
136,0.775,0.7718
137,0.363,0.3756
138,0.1192,0.1248
139,0.8638,0.8616
140,0.4044,0.4184
141,0.2094,0.2104
142,0.8808,0.8752
143,0.1452,0.1544
144,0.8488,0.8472
145,0.1192,0.1248
146,0.8638,0.8616
147,0.3702,0.3672
148,0.8638,0.8616
149,0.1192,0.1248
150,0.8638,0.8616
151,0.184,0.1912
152,0.2742,0.2752
153,0.8488,0.8472
154,0.1192,0.1248
155,0.8638,0.8616
156,0.7372,0.7384
157,0.1188,0.1228
158,0.8502,0.8464
159,0.1448,0.1522
160,0.8638,0.8616
161,0.4684,0.4614
162,0.1452,0.1544
163,0.8488,0.8472
164,0.8638,0.8616
165,0.1192,0.1248
166,0.8638,0.8616
167,0.3184,0.3232
168,0.2768,0.2746
169,0.8638,0.8616
170,0.1192,0.1248
171,0.7184,0.724
172,0.3144,0.311
173,0.8748,0.8706
174,0.8638,0.8616
175,0.1452,0.1544
176,0.8748,0.8706
177,0.464,0.465
178,0.8638,0.8616
179,0.4142,0.4058
180,0.1192,0.1248
181,0.7372,0.7384
182,0.1678,0.1716
183,0.791,0.793
184,0.2094,0.2104
185,0.8748,0.8706
186,0.775,0.7718
187,0.1532,0.1594
188,0.8638,0.8616
189,0.2198,0.222
190,0.8502,0.8464
191,0.1192,0.1248
192,0.519,0.5228
193,0.402,0.4036
194,0.7694,0.762
195,0.1452,0.1544
196,0.8748,0.8706
197,0.6198,0.6144
198,0.2168,0.2156
199,0.8638,0.8616
200,0.3108,0.3116
201,0.6008,0.6066
202,0.1652,0.166
203,0.6466,0.6416
204,0.5984,0.608
205,0.4226,0.4112
206,0.5714,0.5842
207,0.4226,0.4112
208,0.3998,0.4152
209,0.6198,0.6076
210,0.8638,0.8616
211,0.1192,0.1248
212,0.7226,0.7226
213,0.4172,0.4246
214,0.184,0.1912
215,0.8748,0.8706
216,0.4802,0.4904
217,0.7438,0.7486
218,0.1452,0.1544
219,0.8748,0.8706
220,0.775,0.7718
221,0.1192,0.1248
222,0.8638,0.8616
223,0.2502,0.2468
