T(rees),Training Error,Testing Error
1,0.0722,0.1682
2,0.0848,0.2018
3,0.0432,0.1498
4,0.0406,0.165
5,0.0302,0.1478
6,0.0304,0.1578
7,0.0252,0.1444
8,0.0252,0.1562
9,0.023,0.143
10,0.0228,0.1486
11,0.0216,0.1426
12,0.0194,0.1496
13,0.0194,0.1426
14,0.0188,0.1454
15,0.0196,0.1432
16,0.018,0.1448
17,0.0176,0.143
18,0.0172,0.1456
19,0.0182,0.1422
20,0.0166,0.1472
21,0.0172,0.1442
22,0.0162,0.1472
23,0.017,0.1434
24,0.0156,0.1466
25,0.0162,0.1438
26,0.0158,0.1456
27,0.0158,0.1444
28,0.0152,0.1454
29,0.0158,0.1438
30,0.0152,0.1468
31,0.0152,0.145
32,0.015,0.148
33,0.0154,0.1452
34,0.0148,0.1466
35,0.0152,0.144
36,0.0144,0.1466
37,0.0146,0.1432
38,0.014,0.1442
39,0.0144,0.1426
40,0.0144,0.1444
41,0.0146,0.1426
42,0.0144,0.145
43,0.0142,0.1438
44,0.014,0.1458
45,0.0144,0.144
46,0.0142,0.1452
47,0.0144,0.1432
48,0.0144,0.1448
49,0.0144,0.1418
50,0.0142,0.144
51,0.0144,0.141
52,0.0144,0.1436
53,0.0144,0.1416
54,0.014,0.1434
55,0.0144,0.1406
56,0.014,0.1424
57,0.0142,0.141
58,0.0142,0.1424
59,0.0142,0.141
60,0.014,0.1436
61,0.0142,0.1412
62,0.014,0.1416
63,0.014,0.1406
64,0.0138,0.1422
65,0.014,0.1414
66,0.014,0.1422
67,0.014,0.1414
68,0.014,0.1424
69,0.014,0.1408
70,0.0138,0.1416
71,0.014,0.14
72,0.0136,0.1416
73,0.0138,0.1398
74,0.0136,0.142
75,0.0138,0.141
76,0.0136,0.1428
77,0.0138,0.1422
78,0.0138,0.1424
79,0.0138,0.1408
80,0.0138,0.1426
81,0.0138,0.141
82,0.0138,0.1418
83,0.0138,0.1408
84,0.0138,0.1424
85,0.0138,0.1416
86,0.0136,0.1424
87,0.0136,0.1418
88,0.0136,0.1428
89,0.0136,0.1404
90,0.0136,0.1426
91,0.0136,0.1404
92,0.0136,0.142
93,0.0138,0.1396
94,0.0136,0.1414
95,0.0138,0.1402
96,0.0138,0.1416
97,0.0138,0.1404
98,0.0138,0.1418
99,0.0138,0.1406
100,0.0138,0.1418
101,0.0138,0.1402
102,0.0136,0.1404
103,0.0136,0.14
104,0.0136,0.1402
105,0.0136,0.1404
106,0.0136,0.1416
107,0.0136,0.1406
108,0.0136,0.142
109,0.0136,0.1404
110,0.0136,0.1408
111,0.0136,0.139
112,0.0136,0.1402
113,0.0136,0.14
114,0.0136,0.1406
115,0.0136,0.1404
116,0.0136,0.1412
117,0.0136,0.14
118,0.0136,0.1406
119,0.0136,0.14
120,0.0136,0.1416
121,0.0136,0.141
122,0.0136,0.1422
123,0.0136,0.1404
124,0.0136,0.141
125,0.0136,0.141
126,0.0136,0.1412
127,0.0136,0.1396
128,0.0136,0.1406
129,0.0136,0.1398
130,0.0136,0.141
131,0.0136,0.1414
132,0.0136,0.1414
133,0.0136,0.141
134,0.0136,0.1422
135,0.0136,0.1416
136,0.0136,0.1414
137,0.0136,0.141
138,0.0136,0.141
139,0.0136,0.1404
140,0.0136,0.141
141,0.0136,0.14
142,0.0136,0.14
143,0.0136,0.1402
144,0.0136,0.1414
145,0.0136,0.141
146,0.0136,0.1412
147,0.0136,0.1412
148,0.0136,0.1422
149,0.0136,0.1418
150,0.0136,0.1408
151,0.0136,0.1404
152,0.0136,0.1404
