Tree#,Training Error,Testing Error
1,0.0722,0.1682
2,0.0692,0.1648
3,0.0654,0.1722
4,0.0692,0.167
5,0.0716,0.1774
6,0.0659999999999999,0.1806
7,0.0659999999999999,0.1676
8,0.0722,0.174
9,0.0752,0.1676
10,0.0702,0.1682
11,0.0662,0.1786
12,0.07,0.1782
13,0.0666,0.1704
14,0.0682,0.1676
15,0.0744,0.182
16,0.072,0.1738
17,0.0706,0.1672
18,0.0726,0.1808
19,0.0654,0.163
20,0.0748,0.1886
21,0.0666,0.1734
22,0.0668,0.1628
23,0.0752,0.1714
24,0.0744,0.1774
25,0.0702,0.1782
26,0.069,0.1684
27,0.0714,0.1752
28,0.0696,0.1642
29,0.0682,0.1678
30,0.072,0.185
31,0.0694,0.1748
32,0.0686,0.167
33,0.0696,0.1668
34,0.0714,0.1754
35,0.0728,0.1866
36,0.0728,0.173
37,0.0686,0.1594
38,0.0706,0.1736
39,0.0658,0.161
40,0.0764,0.1848
41,0.0679999999999999,0.176
42,0.0606,0.1762
43,0.0648,0.1828
44,0.0716,0.1654
45,0.0648,0.1646
46,0.0664,0.1764
47,0.0694,0.161
48,0.0639999999999999,0.1712
49,0.0676,0.1608
50,0.0692,0.184
51,0.0686,0.1744
52,0.075,0.173
53,0.0678,0.1664
54,0.0724,0.17
55,0.0679999999999999,0.1586
56,0.0714,0.1686
57,0.0724,0.1754
58,0.0692,0.1764
59,0.0679999999999999,0.1728
60,0.0646,0.164
61,0.0732,0.1752
62,0.0714,0.1692
63,0.0736,0.1802
64,0.0704,0.1712
65,0.0634,0.1644
66,0.0658,0.1568
67,0.0658,0.1732
68,0.0708,0.1764
69,0.0652,0.1658
70,0.0696,0.173
71,0.0694,0.1746
72,0.0692,0.1728
73,0.0662,0.171
74,0.0706,0.176
75,0.0762,0.1722
76,0.0698,0.1756
77,0.0684,0.1698
78,0.0706,0.1692
79,0.0686,0.1716
80,0.0726,0.1724
81,0.07,0.1722
82,0.0722,0.1712
83,0.0668,0.1658
84,0.0659999999999999,0.1672
85,0.0718,0.1698
86,0.0702,0.17
87,0.0654,0.1568
88,0.0706,0.1748
89,0.0672,0.165
90,0.0676,0.1798
91,0.0642,0.156
92,0.0724,0.1696
93,0.0678,0.1686
94,0.0696,0.1718
95,0.0692,0.1646
96,0.0738,0.1828
97,0.0738,0.1794
98,0.0708,0.1762
99,0.0744,0.1638
100,0.076,0.186
101,0.0706,0.178
102,0.0778,0.177
103,0.0766,0.18
104,0.0672,0.1684
105,0.0728,0.1796
