Num, Weight,-,-,-,-,-,-,LearnRate,TrainError
0,227234.25,70377.5,117444.75,185229.75,7913.25,786030.25,691476.5,1,-1312194375.38208
1,-16644708003885.5,-5714957369826.75,-8841595325717.75,-13771701001713.8,-637703383962.25,-60310539062510,-52374887393297.5,0.5,9.98982513734631E+16
2,6.33457289522364E+20,2.17612425417115E+20,3.36556870342881E+20,5.24210921054472E+20,2.42778253378559E+19,2.29584169680449E+21,1.99361939639689E+21,0.5,-3.80268351117919E+24
3,-2.41128835389253E+28,-8.28355392870942E+27,-1.28112304799188E+28,-1.9954383413398E+28,-9.24149832619575E+26,-8.73925320469148E+28,-7.58882413906E+28,0.25,1.44751303800517E+32
4,4.58935276481725E+35,1.5765908554085E+35,2.4383336995787E+35,3.79787448740029E+35,1.75891432689869E+34,1.66332309784197E+36,1.44436442800465E+36,0.25,-2.75502015103173E+39
5,-8.73481551795666E+42,-3.00069115975656E+42,-4.64082761331656E+42,-7.22841208965317E+42,-3.34770346616026E+41,-3.16576675438151E+43,-2.74902746994191E+43,0.125,5.2435700634872E+46
6,8.3123919686068E+49,2.85557503136321E+49,4.41639300811006E+49,6.87883956751051E+49,3.18580550993781E+48,3.01266742148266E+50,2.61608202436023E+50,0.125,-4.9899862902615E+53
7,-7.91039720274904E+56,-2.71747684970173E+56,-4.20281226264763E+56,-6.54617268753685E+56,-3.03173708476338E+55,-2.86697211027982E+57,-2.48956594032339E+57,0.0625,4.7486660568121E+60
8,3.76392123748198E+63,1.29302847439866E+63,1.99978002710555E+63,3.11479661151298E+63,1.4425596221435E+62,1.36416123445743E+64,1.18458401957851E+64,0.0625,-2.2595079062191E+67
9,-1.79094711919706E+70,-6.15248161466114E+69,-9.51534331512337E+69,-1.48208096458625E+70,-6.86397997338611E+68,-6.4909451575195E+70,-5.63648175255198E+70,0.03125,1.07511792094599E+74
10,4.26083691353707E+76,1.4637350535151E+76,2.26379247089287E+76,3.52601437254656E+76,1.63300741439506E+75,1.54425881336481E+77,1.34097368126194E+77,0.03125,-2.55780981742536E+80
11,-1.01369443068199E+83,-3.48236767060517E+82,-5.38578186992594E+82,-8.38873020602879E+82,-3.88508303609414E+81,-3.67394150587186E+83,-3.19030645849789E+83,0.015625,6.08527765620437E+86
12,1.20583818124124E+89,4.14244349306598E+88,6.40664604443398E+88,9.97879722763768E+88,4.62149275010137E+87,4.37032976539755E+89,3.79502266272599E+89,0.015625,-7.23872985705237E+92
13,-1.43440239516846E+95,-4.92763536661899E+94,-7.62101298009421E+94,-1.18702582708818E+95,-5.49748745157116E+93,-5.19871702578651E+95,-4.51436161320532E+95,0.0078125,8.61081661408773E+98
14,8.53144532000941E+100,2.93082693035501E+100,4.53277655849981E+100,7.06011504955165E+100,3.26975984901426E+99,3.09205911737834E+101,2.68502265386189E+101,0.0078125,-5.12148552952538E+104
